in out weight
48 86 0.0222222222222
29 44 0.0222222222222
33 41 0.0222222222222
27 46 0.0222222222222
13 20 0.0222222222222
0 55 0.0222222222222
25 49 0.037037037037
32 77 0.0222222222222
14 77 0.0222222222222
1 40 0.0222222222222
17 20 0.0222222222222
8 38 0.0222222222222
48 77 0.0222222222222
29 37 0.0222222222222
33 34 0.0222222222222
36 41 0.0222222222222
79 85 0.037037037037
26 67 0.037037037037
20 82 0.0222222222222
42 67 0.037037037037
0 14 0.0222222222222
1 33 0.0222222222222
4 42 0.037037037037
8 45 0.0222222222222
11 72 0.037037037037
33 59 0.0222222222222
72 74 0.037037037037
1 82 0.0222222222222
41 43 0.0222222222222
26 74 0.037037037037
17 50 0.0222222222222
42 74 0.037037037037
49 52 0.037037037037
30 86 0.0222222222222
0 5 0.0222222222222
8 69 0.0222222222222
70 72 0.037037037037
11 65 0.037037037037
33 60 0.0222222222222
41 44 0.0222222222222
5 62 0.0222222222222
26 85 0.037037037037
17 43 0.0222222222222
37 56 0.0222222222222
42 53 0.037037037037
67 71 0.037037037037
34 37 0.0222222222222
0 28 0.0222222222222
8 76 0.0222222222222
32 82 0.0222222222222
14 38 0.0222222222222
1 51 0.0222222222222
80 89 0.0625
11 70 0.037037037037
12 72 0.037037037037
2 82 0.0222222222222
5 39 0.0222222222222
51 76 0.0222222222222
34 44 0.0222222222222
17 44 0.0222222222222
42 60 0.0222222222222
31 82 0.0222222222222
55 72 0.037037037037
14 41 0.0222222222222
71 72 0.037037037037
18 84 0.037037037037
26 52 0.037037037037
46 51 0.0222222222222
12 71 0.037037037037
36 77 0.0222222222222
2 45 0.0222222222222
5 32 0.0222222222222
30 56 0.0222222222222
52 77 0.037037037037
17 37 0.0222222222222
37 42 0.0222222222222
55 65 0.037037037037
38 59 0.0222222222222
33 86 0.0222222222222
14 48 0.0222222222222
18 79 0.037037037037
1 13 0.0222222222222
21 66 0.0625
80 87 0.0625
26 63 0.037037037037
40 56 0.0222222222222
2 36 0.0222222222222
5 41 0.0222222222222
30 35 0.0222222222222
52 84 0.037037037037
17 30 0.0222222222222
42 46 0.0222222222222
6 56 0.0222222222222
13 42 0.0222222222222
18 55 0.037037037037
38 50 0.0222222222222
14 59 0.0222222222222
18 70 0.037037037037
1 6 0.0222222222222
58 81 0.0625
21 75 0.0625
43 82 0.0222222222222
89 90 0.0625
27 45 0.0222222222222
30 42 0.0222222222222
6 51 0.0222222222222
13 35 0.0222222222222
54 87 0.0625
18 65 0.037037037037
1 31 0.0222222222222
58 88 0.0625
51 59 0.0222222222222
5 27 0.0222222222222
27 34 0.0222222222222
30 45 0.0222222222222
34 48 0.0222222222222
55 63 0.037037037037
6 42 0.0222222222222
35 51 0.0222222222222
75 88 0.0625
38 44 0.0222222222222
4 84 0.037037037037
43 51 0.0222222222222
44 82 0.0222222222222
69 86 0.0222222222222
9 65 0.037037037037
3 50 0.0222222222222
25 65 0.037037037037
6 45 0.0222222222222
35 56 0.0222222222222
75 81 0.0625
40 77 0.0222222222222
39 60 0.0222222222222
46 86 0.0222222222222
68 71 0.037037037037
15 55 0.037037037037
2 8 0.0222222222222
5 13 0.0222222222222
27 48 0.0222222222222
47 61 0.0625
30 31 0.0222222222222
87 90 0.0625
3 59 0.0222222222222
25 74 0.037037037037
6 36 0.0222222222222
31 36 0.0222222222222
8 29 0.0222222222222
7 76 0.0222222222222
12 25 0.037037037037
19 57 0.037037037037
2 3 0.0222222222222
47 58 0.0625
52 55 0.037037037037
3 32 0.0222222222222
6 31 0.0222222222222
28 40 0.0222222222222
32 43 0.0222222222222
31 45 0.0222222222222
35 38 0.0222222222222
40 59 0.0222222222222
4 65 0.037037037037
65 85 0.037037037037
11 49 0.037037037037
14 30 0.0222222222222
53 65 0.037037037037
39 50 0.0222222222222
7 69 0.0222222222222
9 70 0.037037037037
34 45 0.0222222222222
0 44 0.0222222222222
20 39 0.0222222222222
3 41 0.0222222222222
25 84 0.037037037037
81 87 0.0625
28 39 0.0222222222222
32 34 0.0222222222222
31 42 0.0222222222222
4 72 0.037037037037
7 45 0.0222222222222
28 86 0.0222222222222
53 74 0.037037037037
39 43 0.0222222222222
12 15 0.037037037037
19 71 0.037037037037
41 86 0.0222222222222
24 58 0.0625
29 62 0.0222222222222
27 55 0.0222222222222
0 35 0.0222222222222
20 46 0.0222222222222
3 46 0.0222222222222
60 69 0.0222222222222
82 86 0.0222222222222
28 62 0.0222222222222
40 41 0.0222222222222
4 55 0.037037037037
8 50 0.0222222222222
7 42 0.0222222222222
44 45 0.0222222222222
31 56 0.0222222222222
27 28 0.0222222222222
35 76 0.0222222222222
59 82 0.0222222222222
32 48 0.0222222222222
7 35 0.0222222222222
63 70 0.037037037037
29 82 0.0222222222222
54 90 0.0625
41 55 0.0222222222222
19 85 0.037037037037
20 77 0.0222222222222
20 60 0.0222222222222
3 28 0.0222222222222
32 55 0.0222222222222
8 32 0.0222222222222
63 79 0.037037037037
29 43 0.0222222222222
33 40 0.0222222222222
73 81 0.0625
41 56 0.0222222222222
12 52 0.037037037037
15 25 0.037037037037
45 60 0.0222222222222
49 57 0.037037037037
0 8 0.0222222222222
20 59 0.0222222222222
3 5 0.0222222222222
60 82 0.0222222222222
45 77 0.0222222222222
14 82 0.0222222222222
8 39 0.0222222222222
7 17 0.0222222222222
29 36 0.0222222222222
73 90 0.0625
36 42 0.0222222222222
79 84 0.037037037037
17 56 0.0222222222222
66 90 0.0625
25 57 0.037037037037
32 69 0.0222222222222
1 32 0.0222222222222
57 67 0.037037037037
8 46 0.0222222222222
7 14 0.0222222222222
48 69 0.0222222222222
41 42 0.0222222222222
9 49 0.037037037037
12 42 0.037037037037
37 62 0.0222222222222
5 69 0.0222222222222
45 46 0.0222222222222
10 16 0.5
0 6 0.0222222222222
71 85 0.037037037037
57 68 0.037037037037
21 54 0.0625
4 18 0.037037037037
33 51 0.0222222222222
37 86 0.0222222222222
17 42 0.0222222222222
37 39 0.0222222222222
42 50 0.0222222222222
29 55 0.0222222222222
67 70 0.037037037037
13 62 0.0222222222222
0 29 0.0222222222222
8 77 0.0222222222222
14 39 0.0222222222222
1 50 0.0222222222222
57 77 0.037037037037
4 25 0.037037037037
80 90 0.0625
26 42 0.037037037037
5 38 0.0222222222222
61 73 0.0625
88 89 0.0625
52 71 0.037037037037
17 35 0.0222222222222
38 56 0.0222222222222
67 79 0.037037037037
13 55 0.0222222222222
0 20 0.0222222222222
50 60 0.0222222222222
14 46 0.0222222222222
18 85 0.037037037037
80 81 0.0625
26 53 0.037037037037
46 48 0.0222222222222
2 42 0.0222222222222
61 66 0.0625
34 36 0.0222222222222
17 36 0.0222222222222
37 41 0.0222222222222
13 48 0.0222222222222
40 82 0.0222222222222
50 55 0.0222222222222
58 87 0.0625
4 15 0.037037037037
46 59 0.0222222222222
2 37 0.0222222222222
5 40 0.0222222222222
30 32 0.0222222222222
52 85 0.037037037037
15 67 0.037037037037
13 41 0.0222222222222
18 52 0.037037037037
38 51 0.0222222222222
14 56 0.0222222222222
18 71 0.037037037037
1 5 0.0222222222222
2 60 0.0222222222222
5 17 0.0222222222222
27 44 0.0222222222222
30 43 0.0222222222222
15 72 0.037037037037
24 64 0.0625
6 48 0.0222222222222
49 72 0.037037037037
50 86 0.0222222222222
13 34 0.0222222222222
55 86 0.0222222222222
38 42 0.0222222222222
65 72 0.037037037037
1 30 0.0222222222222
58 89 0.0625
46 69 0.0222222222222
2 55 0.0222222222222
62 69 0.0222222222222
27 37 0.0222222222222
55 62 0.0222222222222
6 43 0.0222222222222
49 65 0.037037037037
35 50 0.0222222222222
38 45 0.0222222222222
17 29 0.0222222222222
4 85 0.037037037037
43 50 0.0222222222222
46 76 0.0222222222222
19 42 0.037037037037
2 14 0.0222222222222
62 76 0.0222222222222
6 34 0.0222222222222
29 48 0.0222222222222
31 62 0.0222222222222
35 59 0.0222222222222
75 80 0.0625
7 86 0.0222222222222
27 51 0.0222222222222
6 37 0.0222222222222
31 39 0.0222222222222
74 77 0.037037037037
8 30 0.0222222222222
7 62 0.0222222222222
29 77 0.0222222222222
14 20 0.0222222222222
53 71 0.037037037037
31 38 0.0222222222222
12 26 0.037037037037
68 79 0.037037037037
15 63 0.037037037037
52 70 0.037037037037
0 86 0.0222222222222
3 35 0.0222222222222
6 28 0.0222222222222
28 41 0.0222222222222
32 44 0.0222222222222
31 44 0.0222222222222
35 41 0.0222222222222
18 19 0.037037037037
38 86 0.0222222222222
7 55 0.0222222222222
65 84 0.037037037037
14 31 0.0222222222222
39 45 0.0222222222222
44 56 0.0222222222222
48 59 0.0222222222222
19 65 0.037037037037
2 27 0.0222222222222
52 63 0.037037037037
0 45 0.0222222222222
20 32 0.0222222222222
3 40 0.0222222222222
28 32 0.0222222222222
32 35 0.0222222222222
35 46 0.0222222222222
13 56 0.0222222222222
7 44 0.0222222222222
36 55 0.0222222222222
39 42 0.0222222222222
44 55 0.0222222222222
9 19 0.037037037037
48 50 0.0222222222222
47 90 0.0625
29 35 0.0222222222222
56 82 0.0222222222222
19 70 0.037037037037
0 36 0.0222222222222
3 17 0.0222222222222
6 14 0.0222222222222
40 42 0.0222222222222
39 82 0.0222222222222
8 51 0.0222222222222
7 37 0.0222222222222
36 62 0.0222222222222
44 46 0.0222222222222
19 79 0.037037037037
42 84 0.037037037037
27 31 0.0222222222222
0 59 0.0222222222222
4 63 0.037037037037
7 34 0.0222222222222
63 65 0.037037037037
36 37 0.0222222222222
1 77 0.0222222222222
15 19 0.037037037037
19 84 0.037037037037
66 73 0.0625
0 50 0.0222222222222
3 31 0.0222222222222
8 82 0.0222222222222
8 33 0.0222222222222
7 27 0.0222222222222
29 42 0.0222222222222
73 80 0.0625
36 44 0.0222222222222
2 76 0.0222222222222
26 70 0.037037037037
12 53 0.037037037037
42 70 0.037037037037
5 82 0.0222222222222
45 59 0.0222222222222
25 55 0.037037037037
45 76 0.0222222222222
1 46 0.0222222222222
8 40 0.0222222222222
11 85 0.037037037037
73 89 0.0625
36 43 0.0222222222222
26 65 0.037037037037
9 15 0.037037037037
42 65 0.037037037037
9 72 0.037037037037
34 39 0.0222222222222
3 13 0.0222222222222
45 69 0.0222222222222
1 39 0.0222222222222
11 74 0.037037037037
12 84 0.037037037037
36 82 0.0222222222222
5 51 0.0222222222222
26 72 0.037037037037
17 48 0.0222222222222
77 86 0.0222222222222
42 72 0.037037037037
6 82 0.0222222222222
0 7 0.0222222222222
71 84 0.037037037037
1 56 0.0222222222222
4 19 0.037037037037
11 67 0.037037037037
33 50 0.0222222222222
73 75 0.0625
5 60 0.0222222222222
9 57 0.037037037037
17 41 0.0222222222222
37 38 0.0222222222222
77 79 0.037037037037
42 51 0.0222222222222
5 77 0.0222222222222
0 30 0.0222222222222
55 77 0.0592592592593
14 36 0.0222222222222
71 77 0.037037037037
58 66 0.0625
4 26 0.037037037037
12 74 0.037037037037
22 23 0.5
5 37 0.0222222222222
30 55 0.0222222222222
88 90 0.0625
34 42 0.0222222222222
17 34 0.0222222222222
6 76 0.0222222222222
55 74 0.037037037037
71 74 0.037037037037
57 85 0.037037037037
12 65 0.037037037037
2 43 0.0222222222222
5 46 0.0222222222222
30 62 0.0222222222222
52 79 0.037037037037
17 27 0.0222222222222
37 40 0.0222222222222
31 69 0.0222222222222
55 67 0.037037037037
64 73 0.0625
11 25 0.037037037037
18 77 0.037037037037
1 3 0.0222222222222
21 64 0.0625
46 56 0.0222222222222
2 34 0.0222222222222
61 90 0.0625
27 86 0.0222222222222
30 33 0.0222222222222
34 60 0.0222222222222
17 28 0.0222222222222
42 44 0.0222222222222
81 90 0.0625
6 62 0.0222222222222
13 40 0.0222222222222
18 53 0.037037037037
38 48 0.0222222222222
18 68 0.037037037037
21 73 0.0625
68 84 0.037037037037
9 85 0.037037037037
30 40 0.0222222222222
34 55 0.0222222222222
49 79 0.037037037037
13 33 0.0222222222222
34 62 0.0222222222222
38 43 0.0222222222222
43 60 0.0222222222222
65 79 0.037037037037
1 29 0.0222222222222
43 77 0.0222222222222
27 36 0.0222222222222
55 57 0.037037037037
6 40 0.0222222222222
31 48 0.0222222222222
75 90 0.0625
8 17 0.0222222222222
28 76 0.0222222222222
11 12 0.037037037037
44 76 0.0222222222222
46 77 0.0222222222222
62 77 0.0222222222222
9 71 0.037037037037
47 54 0.0625
25 71 0.037037037037
6 35 0.0222222222222
3 69 0.0222222222222
39 62 0.0222222222222
15 49 0.037037037037
2 6 0.0222222222222
27 50 0.0222222222222
35 82 0.0222222222222
54 89 0.0625
25 72 0.037037037037
13 76 0.0222222222222
18 25 0.037037037037
4 68 0.037037037037
8 31 0.0222222222222
29 76 0.0222222222222
53 70 0.037037037037
39 55 0.0222222222222
47 87 0.0625
68 72 0.037037037037
56 69 0.0222222222222
3 34 0.0222222222222
6 29 0.0222222222222
28 42 0.0222222222222
32 45 0.0222222222222
13 69 0.0222222222222
35 40 0.0222222222222
4 67 0.037037037037
63 85 0.037037037037
29 69 0.0222222222222
14 28 0.0222222222222
53 79 0.037037037037
39 44 0.0222222222222
48 60 0.0222222222222
12 18 0.037037037037
56 76 0.0222222222222
34 82 0.0222222222222
0 46 0.0222222222222
56 59 0.0222222222222
20 33 0.0222222222222
3 43 0.0222222222222
6 20 0.0222222222222
28 33 0.0222222222222
32 36 0.0222222222222
40 60 0.0222222222222
4 74 0.037037037037
8 13 0.0222222222222
53 72 0.037037037037
36 48 0.0222222222222
44 48 0.0222222222222
9 18 0.037037037037
48 51 0.0222222222222
17 82 0.0222222222222
0 37 0.0222222222222
20 40 0.0222222222222
28 56 0.0222222222222
32 59 0.0222222222222
40 43 0.0222222222222
39 77 0.0222222222222
4 49 0.037037037037
7 36 0.0222222222222
42 85 0.037037037037
27 30 0.0222222222222
13 31 0.0222222222222
0 60 0.0222222222222
20 55 0.0222222222222
28 55 0.0222222222222
32 50 0.0222222222222
8 59 0.0222222222222
7 29 0.0222222222222
48 82 0.0222222222222
36 38 0.0222222222222
1 76 0.0222222222222
12 63 0.037037037037
15 18 0.037037037037
0 51 0.0222222222222
20 62 0.0222222222222
3 30 0.0222222222222
45 82 0.0222222222222
8 34 0.0222222222222
29 41 0.0222222222222
33 46 0.0222222222222
73 87 0.0625
36 45 0.0222222222222
1 69 0.0222222222222
2 77 0.0222222222222
41 62 0.0222222222222
26 71 0.037037037037
17 69 0.0222222222222
20 86 0.0222222222222
42 71 0.037037037037
49 63 0.037037037037
13 17 0.0222222222222
3 7 0.0222222222222
1 45 0.0222222222222
8 41 0.0222222222222
29 34 0.0222222222222
33 39 0.0222222222222
73 88 0.0625
17 62 0.0222222222222
37 51 0.0222222222222
76 82 0.0222222222222
45 51 0.0222222222222
66 88 0.0625
30 82 0.0222222222222
0 1 0.0222222222222
25 63 0.037037037037
70 84 0.037037037037
1 38 0.0222222222222
57 65 0.037037037037
7 8 0.0222222222222
11 77 0.037037037037
12 85 0.037037037037
33 56 0.0222222222222
72 77 0.037037037037
5 50 0.0222222222222
27 77 0.0222222222222
17 55 0.0222222222222
37 60 0.0222222222222
77 85 0.037037037037
13 77 0.0222222222222
14 34 0.0222222222222
70 79 0.037037037037
57 74 0.037037037037
2 86 0.0222222222222
5 59 0.0222222222222
17 40 0.0222222222222
42 48 0.0222222222222
5 76 0.0222222222222
67 72 0.037037037037
13 60 0.0222222222222
0 31 0.0222222222222
55 76 0.0222222222222
14 37 0.0222222222222
1 48 0.0222222222222
21 61 0.0625
5 36 0.0222222222222
34 43 0.0222222222222
17 33 0.0222222222222
37 46 0.0222222222222
42 59 0.0222222222222
6 77 0.0222222222222
55 69 0.0222222222222
54 80 0.0625
33 82 0.0222222222222
14 44 0.0222222222222
57 84 0.037037037037
2 40 0.0222222222222
58 61 0.0625
5 45 0.0222222222222
61 64 0.0625
62 86 0.0222222222222
9 42 0.037037037037
51 86 0.0222222222222
52 72 0.037037037037
15 68 0.037037037037
13 46 0.0222222222222
38 62 0.0222222222222
14 55 0.0222222222222
18 74 0.037037037037
1 2 0.0222222222222
4 9 0.037037037037
29 31 0.0222222222222
19 25 0.037037037037
2 35 0.0222222222222
61 89 0.0625
27 41 0.0222222222222
30 38 0.0222222222222
15 77 0.037037037037
42 45 0.0222222222222
49 85 0.037037037037
