product_name countries fat_100g proteins_100g carbohydrates_100g nutrition-score-fr_100g salt_100g fiber_100g
Gouda-au-lait-pasteurisé- France 30 23 0 17 2 0
sardines-à-la-sauce-citronnée France 11 21 0 3 1 0
Filets-de-Sardines-Sauce-Tomate-Basilic-&-Olives France,Europe 10 14 4 2 1 1
Miel-de-fleurs France 0 1 78 14 0 0
Coquillettes-Bio-(Qualité-supérieure) France 2 11 70 -3 0 2
Chips-légères-Nature,---30%-MG France 24 7 57 7 1 5
Salami-danois France 33 22 1 24 4 0
Sardines-au-piment France 15 23 0 4 1 0
huile-de-colza France 100 0 0 10 0 0
Sardines-à-l\'huile-de-Tournesol France 15 23 0 4 1 0
Recharge-édulcorant-de-table France 0 20 60 14 0 0
Huile-de-noix-saveur-grillée France,Europe 100 0 0 11 0 0
Jus-de-Pomme France 0 0 11 4 0 0
Noix-de-jambon,-Sèche France 8 32 1 14 5 0
Tranchettes-Gouda France 30 25 0 17 2 0
Tranchettes-fromage-de-Hollande- France 24 24 0 16 2 0
Tranchettes-Edam-au-lait-pasteurisé-(24%-MG) France 24 24 0 16 2 0
Viande-des-grisons France 8 32 1 14 5 0
Huile-de-Tournesol France 100 0 0 11 0 0
Coquillettes- France 2 12 72 -2 0 2
Spaghetti France 2 12 72 -2 0 2
Sardines-à-l'huile-de-tournesol France 15 23 0 4 1 0
Sardines-pimentées France 15 23 0 4 1 0
Penne-Qualité-Supérieure France 2 12 72 -2 0 2
Huile-d'Olive-vierge-extra France 100 0 0 11 0 0
Farfalle-(Qualité-Supérieure) France 2 12 72 -2 0 2
Huile-d'olive-vierge-extra France 100 0 0 12 0 0
Huile-de-Tournesol France 100 0 0 11 0 0
jambon-serrano- France 12 30 1 16 5 0
Sardines-à-l'ancienne-à-l'huile-d'olive-extra France 15 22 0 4 1 0
Sardines-de-Bretagne-à-l'huile-d'olive-vierge-extra-issue-de-l'agriculture-biologique France 15 22 0 4 1 0
Sardines-à-l'Ancienne-à-l'Huile-d'Olive-vierge-extra-au-Citron France 15 22 0 4 1 0
Sardines-de-Bretagne-à-l'huile-d'olive-et-citron-issus-de-l'agriculture-biologique France 15 22 0 4 1 0
Sardines-à-l'Ancienne-à-l'Huile-d'Arachide France 13 23 0 4 1 0
Sardines-à-l'Ancienne-à-l'Huile-d'Olive-vierge-extra-(Label-Rouge) France 14 22 0 4 1 0
Anchois-entiers-à-l'huile-d'olive-vierge-extra France 17 23 0 4 1 0
Saumon-Atlantique-au-Naturel France 8 21 0 1 1 0
Sardines-à-l'Ancienne-à-l'Huile-d'Olive-vierge-extra-au-Citron France 14 22 0 4 1 0
Sardines-à-l'Ancienne-à-l'Huile-d'Olive-vierge-extra-Bio France 14 22 0 4 1 0
Sardines-à-l'Ancienne-à-l'Huile-d'Olive-vierge-extra-au-Piment-de-Cayenne France 15 22 0 4 1 0
Sardines-au-Citron-(+-20%-GRATUIT) France 15 22 0 4 1 0
Sardines-à-Poêler-au-Beurre-de-Baratte France 21 18 0 16 1 0
Sardines-à-poêler-à-la-Provençale France 21 18 0 16 1 0
Sardines-à-l'ancienne-au-piment-de-Cayenne-(+20%-gratuit) France 15 22 0 4 1 0
Sardines-au-Piment-de-Cayenne France 15 22 0 4 1 0
Sardines-à-l'Huile-d'Olive France 15 22 0 4 1 0
Sardines-au-Citron France 15 22 0 4 1 0
Sardines-à-l'Huile-d'Arachide France 16 22 0 5 1 0
Sardines-à-l'Ancienne,-à-l'Huile-d'Olive-vierge-extra France 14 22 0 4 1 0
Huile-de-colza France 92 0 0 10 0 0
Huile-d'olive-vierge-extra France 91 0 0 11 0 0
4-huiles,-source-d'oméga-3 France 100 0 0 10 0 0
