indice product_name packaging additives_fr nutrition-score-fr_100g
92 Kosher-Dills glassjar E509-Chloruredecalcium,E211-Benzoatedesodium,E433-Monooléatedepolyoxyéthylènedesorbitane,E102-Tartrazine #
93 Lindt-Excellence-85%-Cocoa-Extra-Dark # # #
94 a-touch-of-sea-salt # # #
95 Creme-Brulee # E500ii-Hydrogénocarbonatedesodium,E322-Lécithines 24
96 Creation-Hazelnut-Torte-Milk-Chocolate Card E322-Lécithines 23
97 Mini-Cups Box # 21
98 Nutella # # 23
99 Nutella Plastic # 23
100 Nutella Pot,Verre # 23
101 Julienne-sliced-sun-dried-tomatoes-in-olive-oil # # 1
102 Ikea-Lachs # # #
103 Lait-de-coco # # #
104 Haggis plastic # 14
105 Milk-Duds Card # 25
106 Whoppers box,card E500ii-Hydrogénocarbonatedesodium,E322-Lécithines,E170-Carbonatedecalcium,E1400-Dextrines 27
107 Good-&-Plenty # # 17
108 Milk-Duds # # 24
109 Sugar-free-hard-candy # # #
110 Chips-de-légumes # # #
111 Cream-on-Top-strawberry-Organic-Yogurt plasticpot E440-Pectines,E410-Farinedegrainesdecaroube,E330-Acidecitrique 5
112 2-british-pork-boneless-loin-steaks # # #
113 Galettes-de-riz-Chocolat-noir- # # #
114 Tartiflette # # #
115 -Sweet'n-Salty-Mix # # 12
116 White-enriched-bread Plastic,Bag E375-Acidenicotinique,E101-Riboflavine,E282-Propionatedecalcium,E516-Sulfatedecalcium,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E341i,E322-Lécithines,E330-Acidecitrique,E916-Iodatedecalcium,E917-Iodatedepotassium 0
117 Light-Rye Plastic,Bag E375-Acidenicotinique,E101-Riboflavine,E481-Stéaroyl-2-lactylatedesodium,E282-Propionatedecalcium,E297-Acidefumarique,E270-Acidelactique,E260-Acideacétique,E516-Sulfatedecalcium,E517-Sulfated'ammonium,E300-Acideascorbique 2
118 Hamburger-enriched-buns Plastic,Bag E375-Acidenicotinique,E101-Riboflavine,E282-Propionatedecalcium,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E516-Sulfatedecalcium,E330-Acidecitrique,E322-Lécithines,E917-Iodatedepotassium,E341i 1
119 Soynuts-Roasted-&-Salted # # 7
120 Mozzarella,-finely-shredded # # #
121 Sliced-Almonds # # 0
122 Orange-Gelatin-Dessert # E428-Gélatine,E339ii-Monophosphatedisodique,E297-Acidefumarique,E355-Acideadipique,E320-Buthylhydroxyanisol,E110-JauneorangéS #
123 Creamy-Almond-Butter # # #
124 cut-green-beans Canned # -4
125 Diced-tomatoes-in-tomato-juice Canned E330-Acidecitrique,E509-Chloruredecalcium -5
126 Tomato-Paste Canned # -9
127 -pure-honey # # #
128 italian-style-tomato-paste Canned E330-Acidecitrique -3
129 Garbanzo-Beans Canned # -5
130 Hoisin-sauce # # #
131 Corn-starch # # #
132 Clover-honey # # #
133 Pumpkin-Seed-Pecan # # #
134 12-Enzyme-Cleaning-Sticks stick # #
135 Botan-Rice-Candy # # #
136 Saki-Ika-Prepared-Squid-(Hot) Plastic,Bag # 15
137 うどん # # #
138 Gyoza-Wrappers-(餃子皮) Plastic E375-Acidenicotinique,E420-Sorbitol,E280-Acidepropionique,E211-Benzoatedesodium,E282-Propionatedecalcium #
